date,stock_level,sales,Year,Month,Day,product_name_Alcatel,product_name_BlackBerry,product_name_Google Pixel,product_name_HTC,product_name_Huawei,product_name_LG,product_name_Lenovo,product_name_Motorola,product_name_Nokia,product_name_OnePlus,product_name_Samsung Galaxy,product_name_Sony Xperia,product_name_Xiaomi,product_name_ZTE,product_name_iPhone
2024-07-10,88,7,2024,7,10,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2024-01-09,187,102,2024,1,9,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2024-10-16,190,16,2024,10,16,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2024-03-22,28,28,2024,3,22,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2024-09-05,13,9,2024,9,5,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2024-06-16,199,160,2024,6,16,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2024-10-01,167,106,2024,10,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2024-04-07,40,40,2024,4,7,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2024-10-14,23,23,2024,10,14,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2024-09-23,142,21,2024,9,23,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2024-12-16,161,59,2024,12,16,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2024-06-07,29,29,2024,6,7,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-05-04,183,93,2024,5,4,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2024-12-24,90,90,2024,12,24,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-07-01,163,15,2024,7,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2024-11-19,39,39,2024,11,19,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2024-03-23,123,123,2024,3,23,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2024-10-25,39,39,2024,10,25,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2024-06-21,190,187,2024,6,21,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-11-25,167,31,2024,11,25,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2024-06-21,34,34,2024,6,21,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2024-11-24,148,95,2024,11,24,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
